MCK	= "countries/Manchukuo.txt"
PGR	= "countries/kmt_PGR.txt"
EHA	= "countries/kmt_East Hopeh Autonomous Council.txt"
RGR	= "countries/kmt_RGR.txt"
YUT	= "countries/kmt_YUT.txt"
YHM	= "countries/kmt_YHM.txt"
RYU	= "countries/kmt_Ryukyu.txt"
XIA	= "countries/kmt_Xiang Clique.txt"
SCC	= "countries/kmt_Szechuan Clique.txt"
QIA	= "countries/kmt_Guizhou Clique.txt"
ZXL	= "countries/kmt_Zhang Xueliang.txt"
SDC	= "countries/kmt_Shandong Clique.txt"
ECR	= "countries/kmt_East-Cahar Special Autonomous Region.txt"
WJW	= "countries/kmt_WJW.txt"
HYQ	= "countries/kmt_HYQ.txt"
SKC	= "countries/kmt_SKC.txt"
DPK	= "countries/kmt_another_korea.txt"
NSM	= "countries/kmt_Ningsia_Ma.txt"
FRAIDC	= "countries/kmt_FRAIndochina.txt"
IDC	= "countries/kmt_Indochina.txt"




ZZZ	= "countries/zzz_dumpster.txt"
